id,MakeText,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,BodyColorText,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,ConsumptionTotalText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText
746.0,MERCEDES-BENZ,CL 5.8 BRABUS,MERCEDES-BENZ CL 5.8 BRABUS,,CL 5.8 BRABUS,"\"Ab MFK\", \"Tuning\"",beige,null,33000,schwarz mét.,Automatik-Getriebe,4,Hinterradantrieb,Zuzwil,5727,1,2000,Benzin,null,null,400,2,,Coupé
784.0,VW,Touran 1.4 TSI Trend,VW Touran 1.4 TSI Trend,TOURAN,Touran 1.4 TSI Trend,"\"Ab MFK\"",anthrazit,F,71700,schwarz mét.,Schaltgetriebe manuell,7,Vorderradantrieb,Zuzwil,1390,3,2008,Benzin,7.5 l/100km,180 g/km,140,5,,Kompaktvan / Minivan
84.0,FERRARI,F355 Berlinetta,FERRARI F355 Berlinetta,F355,F355 Berlinetta,"\"Ab MFK\"",schwarz,null,78000,blau,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,3496,5,1995,Benzin,20.8 l/100km,null,380,2,,Coupé
909.0,MERCEDES-BENZ,SL 500,MERCEDES-BENZ SL 500,SL 500,SL 500,"\"Ab MFK\"",braun,null,111500,silber mét.,Automat,0,Hinterradantrieb,Zuzwil,4971,3,1994,Benzin,null,null,320,2,,Cabriolet
1102.0,BMW,740i,BMW 740i,740,740i,"\"Ab MFK\"",grau,null,85400,weiss,Automat,5,Hinterradantrieb,Zuzwil,4398,4,1998,Benzin,13.8 l/100km,329 g/km,286,4,,Limousine
319.0,MG,GT,MG MGC GT,MGC,C GT,"\"Ab MFK\"",mehrfarbig,null,48800,grau mét.,Schaltgetriebe,4,Hinterradantrieb,Zuzwil,2912,8,1968,Benzin,null,null,135,3,,Coupé
533.0,MERCEDES-BENZ,E 500 Avantgarde,MERCEDES-BENZ E 500 Avantgarde,E 500,E 500 Avantgarde,"\"Ab MFK\"",null,G,123300,schwarz,Automat sequentiell,5,Hinterradantrieb,Zuzwil,4966,4,2004,Benzin,11.9 l/100km,284 g/km,306,5,,Kombi
610.0,AUDI,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,43800,schwarz mét.,Automat sequentiell,5,Allrad,Zuzwil,4172,2,2003,Benzin,14.6 l/100km,350 g/km,450,5,,Kombi
754.0,PORSCHE,911 Carrera,PORSCHE 911 Carrera,911,911 Carrera,"\"Ab MFK\"",beige,null,26000,schwarz mét.,Automatik-Getriebe,4,Hinterradantrieb,Zuzwil,3387,5,1998,Benzin,11.8 l/100km,null,300,2,,Coupé
815.0,MERCEDES-BENZ,BLACK SERIES,MERCEDES-BENZ C 63 AMG BLACK SERIES,C 63 AMG,C 63 AMG BLACK SERIES,"\"Ab MFK\"",schwarz,null,500,schwarz mét.,Automatik-Getriebe,2,Hinterradantrieb,Zuzwil,6208,3,2012,Benzin,null,null,517,2,,Coupé
