carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Kombi,silver met.,,,,Zuzwil,,Audi,,34000.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Limousine,blue met.,,,,Zuzwil,,Mercedes-benz,,26800.0,kilometer,E 420,E 420 Elégance,false,car,,,l_km_consumption
SUV / Geländewagen,yellow,,,,Zuzwil,,Porsche,,91600.0,kilometer,Cayenne,Cayenne Turbo S,false,car,,,l_km_consumption
SUV / Geländewagen,red met,,,,Zuzwil,,Bmw,,61900.0,kilometer,X5,X5 4.8is,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Porsche,,75600.0,kilometer,911,911 Carrera 4 S Cabrio,false,car,,,l_km_consumption
Coupé,white,,,,Zuzwil,,Mercedes-benz,,47500.0,kilometer,Clk 55 amg,CLK 55 AMG Avantgarde,false,car,,,l_km_consumption
Cabriolet,blue met.,,,,Zuzwil,,Mercedes-benz,,49900.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Fiat,,115100.0,kilometer,Spider,CSA,false,car,,,
Limousine,black met.,,,,Zuzwil,,Bmw,,82600.0,kilometer,2002,Turbo,false,car,,,
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,8000.0,kilometer,Sl 500,SL 500,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Porsche,,57600.0,kilometer,Panamera,Panamera 4S 4.8,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Zuzwil,,Mercedes-benz,,29800.0,kilometer,Slr,McLaren,false,car,,,
Limousine,silver met.,,,,Zuzwil,,Audi,,101800.0,kilometer,A8,A8 4.2 quattro,false,car,,,l_km_consumption
SUV / Geländewagen,anthrazit met.,,,,Zuzwil,,Land rover,,99900.0,kilometer,Range rover,Range Rover 3.6 d HSE,false,car,,,l_km_consumption
Limousine,brown,,,,Zuzwil,,Maserati,,80000.0,kilometer,Quattroporte,Quattroporte 4.2 Sport GT,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Maserati,,114800.0,kilometer,Coupé gt,Coupé GT,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Bmw,,79900.0,kilometer,X5,X5 4.4i,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Aston martin,,5000.0,kilometer,Dbs,DBS Coupé,false,car,,,l_km_consumption
Kombi,blue,,,,Zuzwil,,Audi,,185900.0,kilometer,S4,S4 Avant quattro,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Bmw,,134000.0,kilometer,2002,Turbo,false,car,,,
Coupé,blue met.,,,,Zuzwil,,Porsche,,47000.0,kilometer,924,924,false,car,,,
Limousine,gray met.,,,,Zuzwil,,Mercedes-benz,,205500.0,kilometer,S 55 amg,S 55 AMG,false,car,,,l_km_consumption
SUV / Geländewagen,green met.,,,,Zuzwil,,Mercedes-benz,,16500.0,kilometer,Ml 63 amg,ML 63 AMG 4Matic,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Ferrari,,18200.0,kilometer,456,456M GTA,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Porsche,,41700.0,kilometer,911,911 Turbo,false,car,,,
Kombi,silver met.,,,,Zuzwil,,Toyota,,144000.0,kilometer,Corolla,Corolla 2.0 D4D L.Terra,false,car,,,l_km_consumption
