id,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText,color,transmissionType,make,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
360.0,Murena 2.2,TALBOT Murena 2.2,MATRA,Murena 2.2,"\"Ab MFK\"",grau,null,182200,Schaltgetriebe manuell,3,Hinterradantrieb,Zuzwil,2155,4,1982,Benzin,null,118,3,,Coupé,gray met.,manual,Talbot,null,
526.0,Gallardo LP560-4 Coupé,LAMBORGHINI Gallardo LP560-4 Coupé,GALLARDO,Gallardo LP560-4 Coupé,"\"Ab MFK\"",schwarz,G,28500,Automatisiertes Schaltgetriebe,2,Allrad,Zuzwil,5204,6,2008,Benzin,325 g/km,560,2,,Coupé,black,automatic,Lamborghini,13.7,l/100km
884.0,M6,BMW M6,M6,M6,"\"Ab MFK\"",schwarz,G,34500,Automatisiertes Schaltgetriebe,4,Hinterradantrieb,Zuzwil,4999,11,2006,Benzin,357 g/km,507,2,,Coupé,silver met.,automatic,Bmw,14.8,l/100km
985.0,M6,BMW M6,M6,M6,"\"Ab MFK\"",schwarz,G,55000,Automatisiertes Schaltgetriebe,4,Hinterradantrieb,Zuzwil,4999,7,2005,Benzin,357 g/km,507,2,,Coupé,silver met.,automatic,Bmw,14.8,l/100km
1153.0,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,55000,Automat sequentiell,5,Allrad,Zuzwil,4172,3,2004,Benzin,350 g/km,450,5,,Kombi,white met.,null,Audi,14.6,l/100km
353.0,Vanquish V12,ASTON MARTIN Vanquish V12,V12 Vanquish,Vanquish V12,"\"Ab MFK\"",beige,G,24600,Automatisiertes Schaltgetriebe,2,Hinterradantrieb,Zuzwil,5935,1,2003,Benzin,396 g/km,470,2,,Coupé,gray met.,automatic,Aston martin,16.7,l/100km
931.0,300SL W198,MERCEDES-BENZ 300 300SL W198,300,300 300SL W198,null,rot,null,5000,Schaltgetriebe,0,Hinterradantrieb,Sursee,2995,5,1955,null,null,215,2,,Coupé,silver met.,manual,Mercedes-benz,null,
1045.0,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,190,190 E 2.5-16 ABS,"\"Ab MFK\"",null,null,152000,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,2497,4,1992,Benzin,null,195,4,,Limousine,silver met.,manual,Mercedes-benz,null,
1057.0,911 GT2,PORSCHE 911 GT2,911,911 GT2,"\"Ab MFK\"",schwarz,G,53400,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,3600,9,2001,Benzin,309 g/km,462,2,,Coupé,silver met.,manual,Porsche,12.9,l/100km
685.0,Gordini,RENAULT R12 Gordini,R12,R12 Gordini,"\"Ab MFK\"",schwarz,null,14873,null,0,null,Zuzwil,1565,4,1972,Benzin,null,0,4,,Limousine,black met.,null,Renault,null,
